ID,Name,Sequence
1,NEUTRAL GESTURES10,001c_HeadLRupFullMed,2,001b_HeadLRDownFullSlow
2,NEUTRAL GESTURES20,002a_HeadLRupHalfSlow,1,002b_HeadLRDownHalfSlow
3,NEUTRAL GESTURES11,002c_HeadLRupHalfMed,2,002b_HeadLRDownHalfSlow
4,NEUTRAL GESTURES12,007c_HeadLupHalfMed,1,007d_HeadLDownHalfMed
5,NEUTRAL GESTURES15,008c_HeadLupLowMed,2,008d_HeadLDownLowMed
6,NEUTRAL GESTURES2,018a_ShoulderRupFullSlow,3,018b_ShoulderRDownFullSlow
7,NEUTRAL GESTURES14,019a_ShoulderRupHalfSlow,1,019b_ShoulderRDownHalfSlow
8,NEUTRAL GESTURES3,019c_ShoulderRupHalfMed,1,019d_ShoulderRDownHalfMed
9,NEUTRAL GESTURES13,020a_ShoulderLupFullSlow,1,020b_ShoulderLDownFullSlow
10,NEUTRAL GESTURES4,021a_ShoulderLupHalfSlow,3,021b_ShoulderLDownHalfSlow
11,NEUTRAL GESTURES5,023a_ShoulderLRupMedSlow,4,023b_ShoulderLRDownMedSlow
12,NEUTRAL GESTURES6,032c_FootRupLowMed,3,032d_FootRDownLowMed
13,NEUTRAL GESTURES16,033a_FootLupFullSlow,1,033b_FootLDownFullSlow
14,NEUTRAL GESTURES7,033c_FootLupFullMed,3,033d_FootLDownFullMed
15,NEUTRAL GESTURES17,034a_FootLupHalfSlow,2,034b_FootLDownHalfSlow
16,NEUTRAL GESTURES1-shift weight,034c_FootLupHalfMed,.5,031c_FootRupHalfMed,.5,034d_FootLDownHalfMed,.5,031d_FootRDownHalfMed
17,NEUTRAL GESTURES8,035a_FootLupLowSlow,2,035b_FootLDownLowSlow
18,NEUTRAL GESTURES9,036a_FootLRupFullSlow,4,036b_FootLRDownFullSlow
19,NEUTRAL GESTURES18,042e_HeadRotRLowMed2,2,042f_HeadRotR(0)LowMed2
20,NEUTRAL GESTURES19,043g_HeadRotLLowFast,2,043d_HeadRotL(0)LowMed
